證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2031","新光鋼","526,257","11,950,456","22.80","22.90","22.50","22.80","+0.15","257"
"2032","新鋼","18,539","151,421","8.10","8.20","8.10","8.12","-0.05","14"
"2033","佳大","29,633","264,407","8.96","9.04","8.85","8.86","-0.09","26"
"2034","允強","496,460","11,513,535","23.00","23.40","23.00","23.40","+0.50","256"
"2038","海光","93,500","512,738","5.50","5.57","5.42","5.50"," 0.00","62"
"2049","上銀","3,138,172","800,226,704","256.00","257.00","252.00","257.00","+5.50","2,434"
"2059","川湖","1,135,802","352,433,432","295.50","322.50","295.00","317.50","+24.00","973"
"2062","橋椿","333,050","7,066,104","21.80","21.80","20.95","21.20","-0.20","228"
"2069","運錩","83,000","1,272,950","15.40","15.40","15.20","15.40","+0.20","32"
"2101","南港","1,832,350","74,291,133","40.75","40.95","40.20","40.35","+0.25","1,020"
"2102","泰豐","13,270,695","221,649,699","16.55","17.10","16.30","16.45","+0.25","3,484"
"2103","台橡","4,833,743","76,244,438","15.70","15.95","15.55","15.95","+0.50","1,696"
"2104","國際中橡","10,499,090","221,300,078","20.65","21.45","20.60","21.25","+1.15","4,123"
"2105","正新","8,911,532","303,827,959","33.10","35.00","33.10","34.55","+1.75","4,817"
"2106","建大","2,044,200","52,284,284","25.40","25.95","25.30","25.40"," 0.00","824"
"2107","厚生","875,911","15,384,780","17.50","17.65","17.50","17.65","+0.20","264"
"2108","南帝","521,541","15,233,820","29.35","29.35","29.10","29.25","+0.05","262"
"2109","華豐","146,231","1,733,174","11.80","12.10","11.70","11.90","+0.10","60"
"2114","鑫永銓","123,870","9,691,255","78.00","78.80","77.90","78.60","+1.10","103"
"2115","六暉-KY","46,652","1,721,952","37.20","37.20","36.50","37.20","+0.60","45"
"2201","裕隆","5,591,166","94,575,493","17.20","17.25","16.70","16.90","-0.20","1,750"
"2204","中華","730,004","22,979,820","31.75","31.90","31.25","31.30","-0.45","347"
"2206","三陽工業","665,027","13,002,967","19.60","19.65","19.40","19.40","-0.15","332"
"2207","和泰車","292,658","147,887,974","511.00","512.00","502.00","503.00","-3.00","270"
"2208","台船","1,210,050","25,244,132","20.60","21.20","20.60","20.95","+0.45","566"
"2227","裕日車","83,507","19,781,180","235.00","239.50","234.50","237.50","+4.00","81"
"2228","劍麟","1,212,000","108,224,896","90.00","90.60","88.00","89.40","+0.60","981"
"2231","為升","887,427","125,682,134","142.50","143.50","140.50","141.00","+1.00","693"
"2233","宇隆","448,238","24,497,790","53.90","55.70","53.30","55.00","+1.40","325"
"2236","百達-KY","162,059","2,706,197","16.40","17.10","16.40","17.10","+0.70","107"
"2239","英利-KY","136,300","7,797,229","56.40","58.80","55.70","58.10","+2.50","119"
"2243","宏旭-KY","7,000","67,060","9.51","9.75","9.50","9.75","+0.18","5"
"2301","光寶科","6,804,123","305,730,119","44.70","45.20","44.60","45.05","+0.65","3,000"
"2302","麗正","157,641","1,177,263","7.51","7.53","7.41","7.42","-0.08","73"
"2303","聯電","219,150,807","3,312,193,487","15.50","15.60","14.75","15.00","-1.15","41,197"
"2305","全友","178,489","901,468","5.08","5.14","5.01","5.05","-0.01","78"
"2308","台達電","3,975,866","536,351,410","135.00","135.50","134.00","135.00","+1.50","2,414"
